fecha;tmean;rh;tm;cm;rm;o38;yr;mo;dy;wd;wk;trend
1994-01-01;16,799999240;40,0;24;12;4;NA;1994;Jan;1;Saturday;1;1
1994-01-02;15,199999810;50,0;24;10;1;NA;1994;Jan;2;Sunday;1;2
1994-01-03;16,100000380;51,0;20;11;3;NA;1994;Jan;3;Monday;0;3
1994-01-04;13,500000000;48,0;24;10;2;NA;1994;Jan;4;Tuesday;0;4
1994-01-05;10,500000000;55,0;28;11;1;NA;1994;Jan;5;Wednesday;0;5
1994-01-06;12,300000190;55,0;22;12;1;NA;1994;Jan;6;Thursday;0;6
1994-01-07;10,399999620;38,0;31;10;7;NA;1994;Jan;7;Friday;0;7
1994-01-08;11,000000000;42,0;23;11;0;NA;1994;Jan;8;Saturday;1;8
1994-01-09;15,300000190;56,0;18;10;0;NA;1994;Jan;9;Sunday;1;9
1994-01-10;12,199999810;47,0;22;12;1;NA;1994;Jan;10;Monday;0;10
1994-01-11;12,399999620;44,0;26;9;3;NA;1994;Jan;11;Tuesday;0;11
1994-01-12;17,100000380;53,0;18;7;3;NA;1994;Jan;12;Wednesday;0;12
1994-01-13;15,000000000;62,0;14;7;1;NA;1994;Jan;13;Thursday;0;13
1994-01-14;13,600000380;52,0;20;8;3;NA;1994;Jan;14;Friday;0;14
1994-01-15;14,500000000;44,0;20;10;3;NA;1994;Jan;15;Saturday;1;15
1994-01-16;10,699999810;41,0;24;14;2;NA;1994;Jan;16;Sunday;1;16
1994-01-17;9,100000381;38,0;33;12;7;NA;1994;Jan;17;Monday;0;17
1994-01-18;7,900000095;38,0;15;8;2;NA;1994;Jan;18;Tuesday;0;18
1994-01-19;7,599999905;47,0;18;6;3;NA;1994;Jan;19;Wednesday;0;19
1994-01-20;8,100000381;39,0;18;8;2;NA;1994;Jan;20;Thursday;0;20
1994-01-21;9,000000000;40,0;16;10;0;NA;1994;Jan;21;Friday;0;21
1994-01-22;7,800000191;59,0;20;9;5;NA;1994;Jan;22;Saturday;1;22
1994-01-23;9,000000000;53,0;22;10;2;NA;1994;Jan;23;Sunday;1;23
1994-01-24;10,500000000;52,0;12;4;2;NA;1994;Jan;24;Monday;0;24
1994-01-25;11,600000380;59,0;22;9;3;NA;1994;Jan;25;Tuesday;0;25
1994-01-26;13,199999810;53,0;25;9;5;NA;1994;Jan;26;Wednesday;0;26
1994-01-27;13,000000000;55,0;12;4;1;NA;1994;Jan;27;Thursday;0;27
1994-01-28;16,500000000;40,0;26;5;8;NA;1994;Jan;28;Friday;0;28
1994-01-29;11,399999620;72,0;30;12;2;NA;1994;Jan;29;Saturday;1;29
1994-01-30;11,300000190;72,0;26;13;4;NA;1994;Jan;30;Sunday;1;30
1994-01-31;10,899999620;64,0;18;10;0;NA;1994;Jan;31;Monday;0;31
1994-02-01;10,100000380;69,0;33;11;6;NA;1994;Feb;1;Tuesday;0;32
1994-02-02;11,100000380;68,0;30;8;1;NA;1994;Feb;2;Wednesday;0;33
1994-02-03;12,199999810;60,0;25;11;3;NA;1994;Feb;3;Thursday;0;34
1994-02-04;8,399999619;42,0;18;9;2;NA;1994;Feb;4;Friday;0;35
1994-02-05;10,199999810;51,0;19;4;4;NA;1994;Feb;5;Saturday;1;36
1994-02-06;10,800000190;38,0;19;7;0;NA;1994;Feb;6;Sunday;1;37
1994-02-07;12,199999810;47,0;17;7;2;NA;1994;Feb;7;Monday;0;38
1994-02-08;12,500000000;36,0;26;4;5;NA;1994;Feb;8;Tuesday;0;39
1994-02-09;14,000000000;47,0;25;7;0;NA;1994;Feb;9;Wednesday;0;40
1994-02-10;15,600000380;41,0;30;12;2;NA;1994;Feb;10;Thursday;0;41
1994-02-11;15,800000190;53,0;24;9;4;NA;1994;Feb;11;Friday;0;42
1994-02-12;16,100000380;52,0;22;7;2;NA;1994;Feb;12;Saturday;1;43
1994-02-13;10,800000190;71,0;18;5;1;NA;1994;Feb;13;Sunday;1;44
1994-02-14;12,600000380;53,0;23;10;3;NA;1994;Feb;14;Monday;0;45
1994-02-15;13,699999810;57,0;22;8;5;NA;1994;Feb;15;Tuesday;0;46
1994-02-16;12,000000000;76,0;17;7;1;NA;1994;Feb;16;Wednesday;0;47
1994-02-17;11,199999810;76,0;17;6;0;NA;1994;Feb;17;Thursday;0;48
1994-02-18;14,199999810;43,0;24;7;4;NA;1994;Feb;18;Friday;0;49
1994-02-19;13,699999810;45,0;17;7;2;NA;1994;Feb;19;Saturday;1;50
1994-02-20;17,100000380;41,0;17;6;1;NA;1994;Feb;20;Sunday;1;51
1994-02-21;16,100000380;39,0;28;12;4;NA;1994;Feb;21;Monday;0;52
1994-02-22;16,600000380;57,0;18;10;1;NA;1994;Feb;22;Tuesday;0;53
1994-02-23;16,799999240;41,0;16;5;3;NA;1994;Feb;23;Wednesday;0;54
1994-02-24;18,100000380;43,0;24;9;4;NA;1994;Feb;24;Thursday;0;55
1994-02-25;14,199999810;70,0;22;9;3;NA;1994;Feb;25;Friday;0;56
1994-02-26;12,699999810;78,0;18;9;1;NA;1994;Feb;26;Saturday;1;57
1994-02-27;15,800000190;47,0;19;9;2;NA;1994;Feb;27;Sunday;1;58
1994-02-28;12,000000000;70,0;19;8;2;NA;1994;Feb;28;Monday;0;59
1994-03-01;12,600000380;79,0;18;12;2;NA;1994;Mar;1;Tuesday;0;60
1994-03-02;13,399999620;67,0;17;8;1;NA;1994;Mar;2;Wednesday;0;61
1994-03-03;15,500000000;59,0;19;5;3;NA;1994;Mar;3;Thursday;0;62
1994-03-04;14,699999810;72,0;17;7;3;NA;1994;Mar;4;Friday;0;63
1994-03-05;11,500000000;84,0;19;7;2;NA;1994;Mar;5;Saturday;1;64
1994-03-06;13,199999810;68,0;17;8;2;NA;1994;Mar;6;Sunday;1;65
1994-03-07;14,300000190;60,0;16;6;4;NA;1994;Mar;7;Monday;0;66
1994-03-08;14,199999810;69,0;17;2;5;NA;1994;Mar;8;Tuesday;0;67
1994-03-09;14,600000380;61,0;25;8;4;NA;1994;Mar;9;Wednesday;0;68
1994-03-10;12,399999620;78,0;19;6;2;NA;1994;Mar;10;Thursday;0;69
1994-03-11;14,199999810;69,0;23;9;2;NA;1994;Mar;11;Friday;0;70
1994-03-12;12,899999620;75,0;17;5;5;NA;1994;Mar;12;Saturday;1;71
1994-03-13;14,199999810;78,0;18;3;2;NA;1994;Mar;13;Sunday;1;72
1994-03-14;14,800000190;53,0;18;10;2;NA;1994;Mar;14;Monday;0;73
1994-03-15;15,100000380;63,0;17;12;2;NA;1994;Mar;15;Tuesday;0;74
1994-03-16;14,300000190;72,0;25;10;4;NA;1994;Mar;16;Wednesday;0;75
1994-03-17;13,300000190;75,0;14;4;3;NA;1994;Mar;17;Thursday;0;76
1994-03-18;12,699999810;74,0;15;5;1;NA;1994;Mar;18;Friday;0;77
1994-03-19;13,399999620;84,0;18;6;3;NA;1994;Mar;19;Saturday;1;78
1994-03-20;13,899999620;79,0;16;7;1;NA;1994;Mar;20;Sunday;1;79
1994-03-21;14,600000380;75,0;17;9;2;NA;1994;Mar;21;Monday;0;80
1994-03-22;14,000000000;61,0;11;7;0;NA;1994;Mar;22;Tuesday;0;81
1994-03-23;14,000000000;52,0;19;6;0;NA;1994;Mar;23;Wednesday;0;82
1994-03-24;16,100000380;55,0;10;5;3;NA;1994;Mar;24;Thursday;0;83
1994-03-25;16,799999240;55,0;20;4;2;NA;1994;Mar;25;Friday;0;84
1994-03-26;14,899999620;67,0;22;7;2;NA;1994;Mar;26;Saturday;1;85
1994-03-27;16,899999620;63,0;12;4;3;NA;1994;Mar;27;Sunday;1;86
1994-03-28;15,199999810;79,0;25;11;3;NA;1994;Mar;28;Monday;0;87
1994-03-29;14,600000380;81,0;19;6;2;NA;1994;Mar;29;Tuesday;0;88
1994-03-30;14,800000190;70,0;14;4;0;NA;1994;Mar;30;Wednesday;0;89
1994-03-31;19,299999240;39,0;14;5;2;NA;1994;Mar;31;Thursday;0;90
1994-04-01;21,700000760;35,0;18;7;4;NA;1994;Apr;1;Friday;0;91
