fecha;tm;cm;rm
01/01/1994;24;12;4
01/02/1994;24;10;1
01/03/1994;20;11;3
01/04/1994;24;10;2
01/05/1994;28;11;1
01/06/1994;22;12;1
01/07/1994;31;10;7
01/08/1994;23;11;0
01/09/1994;18;10;0
01/10/1994;22;12;1
01/11/1994;26;9;3
01/12/1994;18;7;3
01/13/1994;14;7;1
01/14/1994;20;8;3
01/15/1994;20;10;3
01/16/1994;24;14;2
01/17/1994;33;12;7
01/18/1994;15;8;2
01/19/1994;18;6;3
01/20/1994;18;8;2
01/21/1994;16;10;0
01/22/1994;20;9;5
01/23/1994;22;10;2
01/24/1994;12;4;2
01/25/1994;22;9;3
01/26/1994;25;9;5
01/27/1994;12;4;1
01/28/1994;26;5;8
01/29/1994;30;12;2
01/30/1994;26;13;4
01/31/1994;18;10;0
02/01/1994;33;11;6
02/02/1994;30;8;1
02/03/1994;25;11;3
02/04/1994;18;9;2
02/05/1994;19;4;4
02/06/1994;19;7;0
02/07/1994;17;7;2
02/08/1994;26;4;5
02/09/1994;25;7;0
02/10/1994;30;12;2
02/11/1994;24;9;4
02/12/1994;22;7;2
02/13/1994;18;5;1
02/14/1994;23;10;3
02/15/1994;22;8;5
02/16/1994;17;7;1
02/17/1994;17;6;0
02/18/1994;24;7;4
02/19/1994;17;7;2
02/20/1994;17;6;1
02/21/1994;28;12;4
02/22/1994;18;10;1
02/23/1994;16;5;3
02/24/1994;24;9;4
02/25/1994;22;9;3
02/26/1994;18;9;1
02/27/1994;19;9;2
02/28/1994;19;8;2
03/01/1994;18;12;2
03/02/1994;17;8;1
03/03/1994;19;5;3
03/04/1994;17;7;3
03/05/1994;19;7;2
03/06/1994;17;8;2
03/07/1994;16;6;4
03/08/1994;17;2;5
03/09/1994;25;8;4
03/10/1994;19;6;2
03/11/1994;23;9;2
03/12/1994;17;5;5
03/13/1994;18;3;2
03/14/1994;18;10;2
03/15/1994;17;12;2
03/16/1994;25;10;4
03/17/1994;14;4;3
03/18/1994;15;5;1
03/19/1994;18;6;3
03/20/1994;16;7;1
03/21/1994;17;9;2
03/22/1994;11;7;0
03/23/1994;19;6;0
03/24/1994;10;5;3
03/25/1994;20;4;2
03/26/1994;22;7;2
03/27/1994;12;4;3
03/28/1994;25;11;3
03/29/1994;19;6;2
03/30/1994;14;4;0
03/31/1994;14;5;2
04/01/1994;18;7;4
04/02/1994;12;3;2
04/03/1994;16;4;1
04/04/1994;14;9;0
04/05/1994;22;13;2
04/06/1994;11;6;0
04/07/1994;15;5;2
04/08/1994;14;6;0
04/09/1994;23;13;1
04/10/1994;20;11;0
04/11/1994;16;8;0
04/12/1994;19;10;1
04/13/1994;10;4;0
04/14/1994;17;5;1
04/15/1994;18;8;0
04/16/1994;21;10;0
04/17/1994;18;10;2
04/18/1994;13;7;2
04/19/1994;23;9;3
04/20/1994;14;5;1
04/21/1994;19;8;1
04/22/1994;23;9;2
04/23/1994;26;12;1
04/24/1994;20;12;1
04/25/1994;20;9;0
04/26/1994;15;5;1
04/27/1994;22;8;4
04/28/1994;20;9;2
04/29/1994;19;6;3
04/30/1994;20;9;1
05/01/1994;20;11;0
05/02/1994;18;4;0
05/03/1994;27;10;2
